Leaky ReLU 1000,ave100 100ステップごとに画像出したやつ time:1回目980.9021223187447 分、2回目887.146327996254 分、3回目974.852148671945分
Step 500, Loss 0.0612
Step 600, Loss 0.0598
Step 700, Loss 0.0591
Step 800, Loss 0.0610
Step 900, Loss 0.0600
Step 999, Loss 0.0576
66 回目
Step 0, Loss 5.5661
Step 100, Loss 0.0770
Step 200, Loss 0.0651
Step 300, Loss 0.0633
Step 400, Loss 0.0640
Step 500, Loss 0.0597
Step 600, Loss 0.0587
Step 700, Loss 0.0576
Step 800, Loss 0.0567
Step 900, Loss 0.0562
Step 999, Loss 0.0556
67 回目
Step 0, Loss 6.1133
Step 100, Loss 0.1877
Step 200, Loss 0.0742
Step 300, Loss 0.0636
Step 400, Loss 0.0613
Step 500, Loss 0.0598
Step 600, Loss 0.0597
Step 700, Loss 0.0579
Step 800, Loss 0.0575
Step 900, Loss 0.0572
Step 999, Loss 0.0561
68 回目
Step 0, Loss 11.7566
Step 100, Loss 0.2906
Step 200, Loss 0.1146
Step 300, Loss 0.0826
Step 400, Loss 0.0738
Step 500, Loss 0.0694
Step 600, Loss 0.0667
Step 700, Loss 0.0645
Step 800, Loss 0.0631
Step 900, Loss 0.0621
Step 999, Loss 0.0614
69 回目
Step 0, Loss 5.5352
Step 100, Loss 0.0674
Step 200, Loss 0.0624
Step 300, Loss 0.0603
Step 400, Loss 0.0593
Step 500, Loss 0.0622
Step 600, Loss 0.0583
Step 700, Loss 0.0569
Step 800, Loss 0.0563
Step 900, Loss 0.0557
Step 999, Loss 0.0551
70 回目
Step 0, Loss 5.4335
Step 100, Loss 0.1350
Step 200, Loss 0.0744
Step 300, Loss 0.0662
Step 400, Loss 0.0620
Step 500, Loss 0.0600
Step 600, Loss 0.0592
Step 700, Loss 0.0583
Step 800, Loss 0.0578
Step 900, Loss 0.0574
Step 999, Loss 0.0572
71 回目
Step 0, Loss 5.6810
Step 100, Loss 0.1110
Step 200, Loss 0.0645
Step 300, Loss 0.0610
Step 400, Loss 0.0595
Step 500, Loss 0.0586
Step 600, Loss 0.0581
Step 700, Loss 0.0599
Step 800, Loss 0.0603
Step 900, Loss 0.0573
Step 999, Loss 0.0563
72 回目
Step 0, Loss 5.6564
Step 100, Loss 0.1410
Step 200, Loss 0.0647
Step 300, Loss 0.0611
Step 400, Loss 0.0596
Step 500, Loss 0.0587
Step 600, Loss 0.0581
Step 700, Loss 0.0608
Step 800, Loss 0.0579
Step 900, Loss 0.0632
Step 999, Loss 0.0564
73 回目
Step 0, Loss 7.5387
Step 100, Loss 0.5046
Step 200, Loss 0.1064
Step 300, Loss 0.0700
Step 400, Loss 0.0660
Step 500, Loss 0.0642
